dataset,signature_id,signature_name,time_window,paired_n,spearman_rho,bootstrap_ci95_lower,bootstrap_ci95_upper,bootstrap_se_fisher_z,fisher_z_se_source,median_absolute_rank_displacement_pp,q1_absolute_rank_displacement_pp,q3_absolute_rank_displacement_pp,bootstrap_ci95_lower_median_rank_displacement_pp,bootstrap_ci95_upper_median_rank_displacement_pp,bootstrap_replicates,valid_bootstrap_replicates,seed,primary_independent_eligible
GSE95233,SIG001,Sepsis MetaScore,T48,31,0.4766129032258065,0.100267988095009,0.7506580014513167,0.2191883470469313,bootstrap,23.333333333333336,8.33333333333333,35,10,36.666666666666664,2000,2000,1137812875,True
GSE95233,SIG002,SeptiCyte LAB,T24,20,0.4646616541353384,-0.0827972073032259,0.8086669082625801,0.3007389900784011,bootstrap,15.789473684210527,5.2631578947368425,39.473684210526315,5.263157894736846,42.10526315789474,2000,2000,1290750978,True
GSE95233,SIG002,SeptiCyte LAB,T48,31,0.442741935483871,0.1248052622737842,0.6980580702752235,0.1930464245935167,bootstrap,23.33333333333333,11.666666666666664,38.33333333333333,13.333333333333329,33.333333333333336,2000,2000,2538661643,True
GSE95233,SIG003,FAIM3:PLAC8,T24,20,0.6285714285714286,0.1423863636363636,0.9464473368074346,0.4041175604318944,bootstrap,10.526315789473683,5.263157894736848,21.052631578947363,5.263157894736835,28.94736842105263,2000,2000,2245491616,True
GSE95233,SIG003,FAIM3:PLAC8,T48,31,0.2842741935483871,-0.1447494183347967,0.6336374362875898,0.2303288130747008,bootstrap,23.33333333333332,6.666666666666664,41.66666666666667,10,36.66666666666667,2000,2000,2111635029,True
GSE95233,SIG004,sNIP,T24,20,0.300751879699248,-0.1908753888696854,0.6929215993018628,0.2619166988051357,bootstrap,21.052631578947363,9.210526315789476,52.63157894736842,7.894736842105267,47.368421052631575,2000,2000,3374108909,True
GSE95233,SIG004,sNIP,T48,31,0.2306451612903226,-0.1365228837586067,0.5573606400795685,0.1914845237707567,bootstrap,26.66666666666666,16.666666666666664,41.66666666666667,13.333333333333345,40.00000000000001,2000,2000,1747647730,True
GSE95233,SIG022,Bacterial/Viral MetaScore,T24,20,0.8661654135338346,0.6714823428500704,0.9289188364254052,0.2136478750738669,bootstrap,10.526315789473683,10.526315789473678,17.105263157894736,5.263157894736842,21.052631578947366,2000,2000,3116333032,True
GSE95233,SIG022,Bacterial/Viral MetaScore,T48,31,0.683467741935484,0.4071535376082221,0.8587703268849832,0.2269395651603694,bootstrap,10,5,21.66666666666666,6.666666666666664,20,2000,2000,2811888055,True
GSE95233,SIG023,Herberg two-gene DRS,T24,20,0.7518796992481201,0.3874160340538811,0.9077326165536832,0.2882585681292421,bootstrap,10.526315789473683,5.2631578947368425,22.368421052631582,5.263157894736841,23.684210526315788,2000,2000,3149949186,True
GSE95233,SIG023,Herberg two-gene DRS,T48,31,0.6620967741935484,0.3420444857972384,0.8421760915891248,0.2226581200451663,bootstrap,13.333333333333336,5.000000000000002,25.000000000000004,6.666666666666668,26.666666666666664,2000,2000,175507868,True
GSE95233,SIG033,Lin seven-gene mortality score,T24,20,0.5624060150375939,0.1884902615657311,0.8046513956328235,0.2347300134317941,bootstrap,18.421052631578934,5.2631578947368425,34.21052631578947,5.263157894736848,36.84210526315789,2000,2000,3994230420,True
GSE95233,SIG033,Lin seven-gene mortality score,T48,31,0.5137096774193549,0.1518174796110815,0.7750887479225029,0.2228396096108699,bootstrap,16.66666666666667,10,26.66666666666667,10,26.66666666666667,2000,2000,1859264391,True
GSE95233,SIG034,Severe-or-Mild score,T24,20,0.5157894736842105,0.0287537391040842,0.8289087144908737,0.2841413598720044,bootstrap,18.421052631578945,9.21052631578947,30.26315789473685,5.2631578947368425,36.84210526315789,2000,2000,1520412093,True
GSE95233,SIG034,Severe-or-Mild score,T48,31,0.7258064516129034,0.442735088731412,0.886853645079424,0.2376058733517441,bootstrap,13.333333333333329,5,23.33333333333333,3.333333333333343,23.33333333333333,2000,2000,2880183153,True
